text,author,tags,born_date,born_location
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","October 09, 1940","in Liverpool, England, The United Kingdom"
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"humor,insanity,lies,lying,self-indulgence,truth","May 12, 1937","in New York, New York, The United States"
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"authors,books,literature,reading,writing","January 01, 1919","in Manhattan, New York, The United States"
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"humor,open-mind,thinking","April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"friendship,love","August 06, 1809","in Somersby, Lincolnshire, The United Kingdom"
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"books,children,difficult,grown-ups,write,writers,writing","November 29, 1918","in New York City, New York, The United States"
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,better-life-empathy,"April 28, 1926","in Monroeville, Alabama, The United States"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life,"March 04, 1965","in Kabul, Afghanistan"
“It takes courage to grow up and become who you really are.”,E.E. Cummings,courage,"October 14, 1894","in Cambridge, Massachusetts, The United States"
“To die will be an awfully big adventure.”,J.M. Barrie,"adventure,love","May 09, 1860","in Kirriemuir, Angus, Scotland, The United Kingdom"
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life","November 27, 1942","in Seattle, Washington, The United States"
